id,comment,score
113,啊啊啊啊啊啊是我们大堡垒～,0.9574
115,期待堡垒啦,0.666
116,辛苦了,0.82
117, 天辽地宁，与鹿同行,0.1395
118,以后的路一起走,0.6798
119,一部电影好与不好，全寄希望于一个人？每个角色都很重要，而且导演作为一部戏的中心，最关键的好吗，把责任一味地推到一位演员身上，很没担当诶,0.9999
120,第三张是哪的？,0.2094
122,期待出色的你！,0.9128
123,最帅的鹿哥,0.6429
124,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊 我的天呐！！大堡竟然更博了,0.9998
126,听说流浪地球也很好看，不过堡垒争气！堡垒冲鸭！暑假见,0.9992
127,辛苦啦,0.82
128,好可爱！！！,0.6297
130,你往后的每一步，都会撒满玫瑰花瓣,0.9875
131,转,0.4846
132,好可爱一小男孩！,0.9679
133,加油＾０＾~,0.8953
134,期待,0.689
135,2019见,0.361
137,看下私信,0.9463
138,     想给你最好的 愿你得到最好的 在小贵分心里 你是最好的,0.8382
139,我爱你,0.7483
140,天辽地宁与鹿同行！,0.1395
141,鲜花应援,0.6461
142,我好喜欢他俩的互动啊！！！ 舒淇好可爱！！ 感觉很好玩！！ 整个剧组都很可爱！我猜两个人私底下聊天应该也挺有意思的,0.9999
143,p4是什么绝世可爱,0.9473
144,期待江洋，期待《上海堡垒》,0.7641
145,哇，江洋哥哥,0.9719
147,大堡垒冲鸭,0.2831
148, 你是远方星球的引力，所以我潮汐不止！,0.9826
149,好可爱,0.879
152,超级可爱,0.7544
153,哎呀，这是新的鹿鹿,0.5967
154, 期待鹿晗～,0.667
155,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊我爱你！！！！！！啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,1.0
156,啊啊啊啊啊啊啊啊，江洋！！！,0.9373
158,等你！小堡贝！,0.7501
159,  陪你闯天下,0.577
162,也就是无数人后来效仿的走花路,0.4996
163,一直都这么可爱,0.824
164,可爱,0.8089
165,表白鹿晗哥哥！！期待江洋,0.9146
166,上海见圣诞快乐！,0.9662
167,啊啊啊啊啊我的大堡贝终于有消息了,0.9223
168,新年快乐！！期待堡垒，期待江洋哥哥,0.9907
169,堡贝加油(ง •̀_•́)ง,0.9541
170,组织和实施的姐姐们辛苦了，这个夏天难以忘怀，还好有你们一鹿陪伴，加油,1.0
171,江洋，加油,0.9112
172,我一直在,0.5262
173,哇我还是第一次看见,0.4969
174,好可爱一小朋友,0.9391
176,恭喜杀青 去休假吧 哈哈哈哈哈哈,0.9982
178,哇啊啊啊啊啊啊啊期待江洋哥哥！！！！！,0.9942
180,科幻年啊！,0.767
181,为什么文案不能精简点 直接jz+付钱的方式就行了 每次都不该 没看到你爱鹿晗的心,0.5734
184,鹿晗往后的每一步都铺满玫瑰花瓣,0.9413
185,谁还敢说没有cp感的！！！！,0.1586
186,小柠檬！！！！,0.8978
188,期待上海堡垒,0.6004
189,啊啊啊啊啊江洋哥哥！！！！,0.9854
191,大吧大吧，我个憨憨我转到上次的号里了，没事吧,0.2288
192,超可爱,0.8288
194,愿你往后走的每一步，路上都洒满花瓣,0.9192
195,上海堡垒电影票我买了，就等上映啦,0.4007
196,鹿鹿快点拍完出来玩吧,0.7925
197,恭喜杀青！希望早点看到江洋,0.6993
198,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,1.0
199,等大堡垒，等江洋，除夕快乐,0.9435
200,  新年快乐！期待堡垒！,0.8114
201,老期待啦！,0.7057
202,  ,0.5262
203,有盘锦场吗,0.7051
204,鹿晗lh,0.4477
205,面对漂亮姐姐还是会害羞,0.9947
206, 我的可爱宝贝呀,0.9399
207,图二 真实的尖叫,0.7171
208,江洋好帅啊啊啊啊啊,0.8874
209,鹿晗堆塔数据群恭祝鹿晗新春快乐！预祝《上海堡垒》票房大卖！！！⚡ ⚡ ⚡,0.7636
211,棒棒哒,0.4738
212,"往后的每一步都会被铺满玫瑰花瓣,任何阻碍都阻挡不了你,一切都会辉煌灿烂",0.9999
213,可可爱爱,0.9189
214,为江洋哥哥打call，辛苦了，恭喜杀青,0.9968
216,啊啊啊啊啊啊超级期待啊 快上映！！！期待江洋！！！,0.8846
218,百度鹿晗吧，陪你闯天下。,0.4989
220, 恭喜杀青,0.7298
221,新年快乐，猪年大吉,0.2446
222,百度鹿晗吧，陪你闯天下,0.4989
223,我们一起陪你闯天下,0.577
224, 百度鹿晗吧，陪你闯天下,0.4989
227,2019遇见江洋，虽有遗憾仍感恩可以窥探到27岁那年他的模样！期待下一次相遇！,0.9997
228,你是远方星球的引力，所以我潮夕不止,0.9978
229,互评互评互评互评,0.0018
230,互评，加油,0.6558
231,辛苦啦！我们一鹿同行！,0.4507
232, lh 演员鹿晗，我们后会有期,0.8969
234,刘海太那啥了,0.8703
235,凌晨两点，比范思哲还表明更快，态度明确，作为中国人我们热爱我们的祖国，祖国利益高于一切，中国一点都不能少,0.9962
236,风大雨大陪你闯天下！,0.5
237,《上海堡垒》从哪里看都看不出是诚意之作。只要有好的电影出现，观众就不会失去信心，但就是先进观众审美进步的同时，某些导演艺人还乐此不彼的开后车。,0.9976
238,我想起了向往的生活里。。导演。。。,0.9844
239,不观望不犹豫，任何代言在国家利益面前都不值一提。,0.5747
241,上海堡垒是真的不好看，没有剧情，还不如看使徒行者二,0.5137
242,恶心,0.1241
243,连解说我都看不下去,0.3013
244,台词好棒！！！,0.8806
245,是啊 这个时候甩锅给演员也是醉了,0.8117
246,杨幂方了解后第一时间发声明,0.1611
247,加油，小芦们都在的,0.9044
248,江洋哥哥我来啦,0.9719
249,还没看的想二刷的私信博主自取哟,0.8908
250,上海堡垒没有负分选项，差评！,0.0107
251,卧槽，还有夜店的戏份啊？心真他妈大，我只看了开头就看不下去了,0.8444
252,帅炸了！,0.938
253,国家高于一切，这是原则问题，中国一点都不能少,0.8944
254,还闯天下呢，这个样子马上世界末日就来了,0.9884
255,期待鹿晗，期待江洋哥哥！！！,0.9631
256,王思聪好欠扁，最讨厌人说呵呵呵了，什么意思吗,0.5281
257,只说一句，现在的观众只为好作品买单。,0.8691
258,用这一战，赢你和勋章！ 0809上海堡垒电影院见！！！   ,0.1884
259,向佐说的没错啊…应该导演承担,0.6439
260,祖国利益高于一切，支持杨幂,0.9629
261,辛苦了，粉丝们。,0.9111
262,期待鹿晗，期待江洋！0809电影院见！,0.6392
263,这个额呵呵真不错,0.9372
264,作为一部抵御外星人、保卫家园的科幻电影，本应带给我们一些感动，甚至热泪盈眶，但是这部电影看得我略显尴尬，舒淇作为一名司令，走路姿势有些别扭，最后打斗的场面也像极了小时候拿着玩具枪和小伙伴玩耍的样子。台词配音也少了份紧迫和庄重。,1.0
265,图片评论,0.4469
266,我们大幂幂就是刚，支持幂幂,0.4745
267,陪他一起闯天下！,0.577
268,“这个夜晚不错，并不炎热的夏天，月色蛮好，城里的街道上流动着淡淡的花香。其实我没本事救这个城市，也没本事救她，我只是想再听听她的声音而已。”在天幕坠落、世界沉沦之前，江洋有个没来得及许下的愿望，如果不能一生相伴，那就一生纠缠，8月9号想去看看。,1.0
269,能不被老王喷的明星也就林更新了,0.4301
270,江洋啊 ,0.5455
